code,date,factor,car_pre,car_post,car_total,leakage,reason
600674,2026-04-10,2.9030169692863144,-0.005444,-0.000682,-0.006126,0.8886,控股股东增持计划已实施完毕
600728,2026-04-10,-0.48235901684607263,0.001675,0.0,0.001675,1.0,扭亏为盈，实施低比例分红
600959,2026-04-10,-1.0551920952616418,0.02912,-0.029412,-0.000292,-99.7981,盈利稳定分红比例达标
600983,2026-04-10,0.3196072929357241,-0.016671,0.100493,0.083821,-0.1989,净利大增且分红比例极高
601999,2026-04-10,-0.940625479578528,-0.027785,0.10013,0.072345,-0.3841,业绩稳健且分红比例达标
603230,2026-04-10,-0.8260588638954142,0.028137,0.03202,0.060157,0.4677,现金分红比例超30%达标
603256,2026-04-10,0.3196072929357241,0.049074,0.065354,0.114428,0.4289,净利暴增且实施现金分红
603301,2026-04-10,-1.0551920952616418,-0.137857,-0.060115,-0.197972,0.6963,注销回购股份小幅增厚EPS
603334,2026-04-10,1.841541291573931,0.127506,-0.038048,0.089457,1.4253,每10股派3.5元分红积极
603350,2026-04-10,-0.024092554113617423,-0.023158,0.001444,-0.021714,1.0665,现金分红比例达60.74%
603380,2026-04-10,2.9030169692863144,0.034326,0.020613,0.054939,0.6248,公司拟回购股份用于激励
603890,2026-04-10,-0.8260588638954142,0.097903,-0.008872,0.089031,1.0996,海外收购获审批顺利推进
603933,2026-04-10,2.9030169692863144,0.0,0.1,0.1,0.0,筹划收购资产并配套融资
605086,2026-04-10,-0.48235901684607263,-0.009422,-0.01107,-0.020493,0.4598,现金分红比例达40.04%
688002,2026-04-10,-0.024092554113617423,0.117369,0.044737,0.162106,0.724,净利润翻倍，实施现金分红
688028,2026-04-10,-0.48235901684607263,0.133536,-0.021343,0.112193,1.1902,现金分红及回购占比近50%
688188,2026-04-10,0.6633071399850656,0.017276,0.050185,0.06746,0.2561,净利高增，高送转加大额分红
688268,2026-04-10,-0.8260588638954142,0.153589,-0.015671,0.137918,1.1136,净利下滑但维持高分红
688278,2026-04-10,-0.8260588638954142,-0.035093,0.002173,-0.03292,1.066,公司拟回购股份彰显发展信心
688375,2026-04-10,-0.48235901684607263,0.002256,-0.005536,-0.003281,-0.6875,净利超五亿分红五成
688486,2026-04-10,0.3196072929357241,0.026115,0.042383,0.068497,0.3813,净利增长且高比例分红转增
688591,2026-04-10,2.381613497221417,0.034354,0.012604,0.046958,0.7316,净利润增长且实施现金分红
688798,2026-04-10,-0.024092554113617423,0.004996,0.001926,0.006922,0.7217,净利大增实施现金分红
688807,2026-04-10,-0.8260588638954142,0.132391,0.02885,0.161241,0.8211,现金分红比例超30%
