code,name,date,score,title,event_type,confidence,label,reason
002831,裕同科技,2026-04-10,0.5,关于回购股份事项前十名股东和前十名无限售条件股东情况的公告,回购,0.8,利多,公司拟回购股份用于股权激励
300012,华测检测,2026-04-10,0.5,董事会薪酬考核与提名会委员会关于员工持股计划相关事项的审核意见,股权激励,0.7,利多,委员会审议通过持股计划
300012,华测检测,2026-04-10,0.5,董事会薪酬考核与提名会委员会关于员工持股计划相关事项的审核意见,股权激励,0.7,利多,员工持股管理办法落地
300012,华测检测,2026-04-10,0.5,董事会薪酬考核与提名会委员会关于员工持股计划相关事项的审核意见,股权激励,0.8,利多,员工持股计划草案摘要
300012,华测检测,2026-04-10,0.5,董事会薪酬考核与提名会委员会关于员工持股计划相关事项的审核意见,股权激励,0.8,利多,员工持股计划草案发布
603230,内蒙新华,2026-04-10,0.5,内蒙古新华发行集团股份有限公司2025年度利润分配预案公告,分红,0.8,利多,现金分红比例超30%达标
000778,新兴铸管,2026-04-10,0.5,关于2025年度利润分配预案的公告,分红,0.8,利多,每10股派0.75元分红稳定
688268,华特气体,2026-04-10,0.5,广东华特气体股份有限公司2025年年度利润分配方案公告,分红,0.85,利多,净利下滑但维持高分红
688591,泰凌微,2026-04-10,0.5,2025年度利润分配预案的公告,分红,0.8,利多,净利润增长且实施现金分红
002392,北京利尔,2026-04-10,0.5,关于公司2025年度利润分配预案的公告,分红,0.8,利多,净利润增长但分红比例偏低
002738,中矿资源,2026-04-10,0.5,公司2025年度利润分配及资本公积金转增股本方案的公告,分红,0.85,利多,净利下滑但维持高分红比例
002730,电光科技,2026-04-10,0.5,电光防爆科技股份有限公司关于2025年度利润分配预案的公告,分红,0.8,利多,现金分红比例超50%
688807,优迅股份,2026-04-10,0.5,关于2025年度利润分配方案的公告,分红,0.8,利多,现金分红比例超30%
601999,出版传媒,2026-04-10,0.4,出版传媒2025年年度利润分配方案公告,分红,0.8,利多,业绩稳健且分红比例达标
603933,睿能科技,2026-04-10,0.3,福建睿能科技股份有限公司董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,重组,0.6,利多,资产重组推进符合监管要求
603933,睿能科技,2026-04-10,0.3,福建睿能科技股份有限公司董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,重组,0.6,利多,资产重组推进符合监管要求
603933,睿能科技,2026-04-10,0.3,福建睿能科技股份有限公司董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,重组,0.7,利多,明确不构成重组上市
688173,希荻微,2026-04-10,0.3,希荻微2026年股票期权激励计划（草案）,股权激励,0.75,利多,推出股权激励，绑定核心团队
688173,希荻微,2026-04-10,0.3,希荻微2026年股票期权激励计划（草案）,股权激励,0.75,利多,推出股权激励，绑定核心团队
603301,振德医疗,2026-04-10,0.3,振德医疗关于注销公司回购专用证券账户股份的公告,回购,0.8,利多,注销回购股份小幅增厚EPS
300351,永贵电器,2026-04-10,0.3,关于2025年度利润分配预案的公告,分红,0.8,利多,每10股派0.41元现金
600959,江苏有线,2026-04-10,0.3,江苏有线关于2025年度利润分配预案的公告,分红,0.8,利多,盈利稳定分红比例达标
002895,川恒股份,2026-04-10,0.3,提请股东会授权董事会制定中期分红方案的公告,分红,0.6,利多,提请授权制定中期分红方案
300414,中光防雷,2026-04-10,0.3,关于2025年度利润分配预案的公告,分红,0.75,利多,现金分红比例刚达30%
603334,丰倍生物,2026-04-10,0.2,丰倍生物2025年度主要经营数据公告,业绩,0.75,中性,产品售价上涨，但原料成本大增
688591,泰凌微,2026-04-10,0.2,董事会薪酬与考核委员会关于公司2024年限制性股票与股票增值权激励计划首次授予部分限制性股票第一个归属期及股票增值权第一个行权期归属行权名单的核查意见,股权激励,0.8,利多,明确营收考核目标
688173,希荻微,2026-04-10,0.2,希荻微2026年股票期权激励计划（草案）,股权激励,0.7,利多,明确激励名单，推进计划落地
688173,希荻微,2026-04-10,0.2,希荻微2026年股票期权激励计划（草案）,股权激励,0.7,利多,设定营收目标，彰显发展信心
688173,希荻微,2026-04-10,0.2,希荻微2026年股票期权激励计划（草案）,股权激励,0.7,利多,委员会核查通过，计划合规
300342,天银机电,2026-04-10,0.2,关于2025年度利润分配预案的公告,分红,0.7,利多,净利下滑但维持现金分红
603380,易德龙,2026-04-10,0.1,苏州易德龙科技股份有限公司关于公司2026年股票期权激励实施考核管理办法,股权激励,0.75,利多,设定业绩考核目标彰显信心
603380,易德龙,2026-04-10,0.1,苏州易德龙科技股份有限公司关于公司2026年股票期权激励实施考核管理办法,股权激励,0.8,利多,推出股权激励绑定核心团队
603380,易德龙,2026-04-10,0.1,苏州易德龙科技股份有限公司关于公司2026年股票期权激励实施考核管理办法,股权激励,0.8,利多,推出股权激励绑定核心团队
688656,浩欧博,2026-04-10,0.1,江苏浩欧博生物医药股份有限公司关于作废2023年限制性股票激励计划部分已授予尚未归属的限制性股票的公告,股权激励,0.75,中性,归属条件达成，计划正常推进
