code,date,score,title,event_type,confidence,label
002681,2026-04-08,1.0,关于股份回购结果暨股份变动的公告,回购,0.9,利多
600010,2026-04-08,1.2,包钢股份关于股份回购进展情况的公告,回购,0.9,利多
002318,2026-04-08,0.7,关于2026年员工持股计划完成非交易过户的公告,股权激励,0.85,利多
002079,2026-04-08,1.5,关于控股股东取得增持专项贷款承诺函的公告,增持,0.95,利多
002048,2026-04-08,0.9,关于2022年员工持股计划股票出售完毕暨终止的公告,回购,0.85,利多
002468,2026-04-08,0.2,2025年限制性股票激励计划预留授予部分激励对象名单（预留授予日）,股权激励,0.7,利多
002468,2026-04-08,0.3,2025年限制性股票激励计划预留授予部分激励对象名单（预留授予日）,股权激励,0.8,利多
300785,2026-04-08,0.4,上海君澜律师事务所关于北京值得买科技股份有限公司2026年限制性股票激励计划（草案）之法律意见书,股权激励,0.8,利多
300785,2026-04-08,0.3,上海君澜律师事务所关于北京值得买科技股份有限公司2026年限制性股票激励计划（草案）之法律意见书,股权激励,0.8,利多
300785,2026-04-08,0.3,上海君澜律师事务所关于北京值得买科技股份有限公司2026年限制性股票激励计划（草案）之法律意见书,股权激励,0.8,利多
002947,2026-04-08,0.3,董事会薪酬与考核委员会关于公司2026年股票期权激励计划相关事项的核查意见,股权激励,0.75,利多
002947,2026-04-08,0.5,董事会薪酬与考核委员会关于公司2026年股票期权激励计划相关事项的核查意见,股权激励,0.85,利多
002947,2026-04-08,0.3,董事会薪酬与考核委员会关于公司2026年股票期权激励计划相关事项的核查意见,股权激励,0.8,利多
002947,2026-04-08,0.3,董事会薪酬与考核委员会关于公司2026年股票期权激励计划相关事项的核查意见,股权激励,0.8,利多
300084,2026-04-08,0.3,董事会薪酬与考核委员会关于公司2025年限制性股票激励计划授予日激励对象名单的核查意见,股权激励,0.8,利多
300084,2026-04-08,0.4,董事会薪酬与考核委员会关于公司2025年限制性股票激励计划授予日激励对象名单的核查意见,股权激励,0.85,利多
688484,2026-04-08,0.2,董事会薪酬与考核委员会关于2026年限制性股票计划首次授予激励对象名单的审核意见及公示情况说明,股权激励,0.7,利多
603685,2026-04-08,0.2,晨丰科技2026年限制性股票激励计划首次授予激励对象名单（授予日）,股权激励,0.7,利多
688726,2026-04-08,0.2,董事会薪酬与考核委员会关于公司2026年限制性股票激励计划首次授予激励对象名单的公示情况说明及核查意见,股权激励,0.7,利多
002970,2026-04-08,0.2,关于2025年股票期权激励计划第一个行权期采用自主行权模式的提示性公告,股权激励,0.7,利多
300575,2026-04-08,0.2,董事会薪酬与考核委员会关于2025年限制性股票激励计划预留授予激励对象名单（预留授予日）的核查意见,股权激励,0.7,利多
300575,2026-04-08,0.2,董事会薪酬与考核委员会关于2025年限制性股票激励计划预留授予激励对象名单（预留授予日）的核查意见,股权激励,0.7,利多
300575,2026-04-08,0.3,董事会薪酬与考核委员会关于2025年限制性股票激励计划预留授予激励对象名单（预留授予日）的核查意见,股权激励,0.8,利多
603915,2026-04-08,0.2,国茂股份董事会薪酬与考核委员会关于公司2026年限制性股票激励计划首次授予激励对象名单的核查意见及公示情况说明的公告,股权激励,0.7,利多
300242,2026-04-08,0.5,关于2025年度计提资产减值准备公告,减值,0.85,利多
600257,2026-04-08,0.4,大湖健康产业股份有限公司坏账核销管理制度,减值,0.9,利多
603239,2026-04-08,1.5,2026-013-浙江仙通-关于公司2025年度利润分配预案的公告,分红,0.95,利多
600128,2026-04-08,1.2,苏豪弘业2025年年度利润分配预案公告,分红,0.9,利多
002246,2026-04-08,1.1,关于2025年度利润分配预案的公告,分红,0.9,利多
688041,2026-04-08,1.3,海光信息技术股份有限公司关于2025年度利润分配方案的公告,分红,0.95,利多
603799,2026-04-08,1.2,华友钴业2025年年度利润分配方案公告,分红,0.9,利多
605016,2026-04-08,1.2,关于2025年度利润分配预案的公告,分红,0.9,利多
605016,2026-04-08,0.1,关于2025年度利润分配预案的公告,分红,0.7,中性
688526,2026-04-08,1.5,武汉科前生物股份有限公司关于2025年利润分配预案的公告,分红,0.95,利多
300394,2026-04-08,0.2,关于授权董事会制定2026年中期分红方案的公告,分红,0.75,中性
300394,2026-04-08,1.8,关于授权董事会制定2026年中期分红方案的公告,分红,0.95,利多
002083,2026-04-08,1.4,关于2025年度利润分配和资本公积金转增股本预案的公告,分红,0.9,利多
600267,2026-04-08,0.7,浙江海正药业股份有限公司2025年年度利润分配方案公告,分红,0.85,利多
601069,2026-04-08,1.2,西部黄金股份有限公司2025年年度利润分配方案公告,分红,0.85,利多
601069,2026-04-08,0.1,西部黄金股份有限公司2025年年度利润分配方案公告,分红,0.9,中性
002847,2026-04-08,1.8,关于2025年度利润分配预案的公告,分红,0.95,利多
002847,2026-04-08,0.3,关于2025年度利润分配预案的公告,分红,0.85,中性
000905,2026-04-08,1.3,厦门港务关于2025年度利润分配方案及2026年中期分红规划的公告,分红,0.9,利多
600619,2026-04-08,1.4,海立股份2025年年度利润分配预案公告,分红,0.9,利多
002827,2026-04-08,0.2,关于授权董事会制定2026年中期分红方案的公告,分红,0.85,中性
002827,2026-04-08,0.1,关于授权董事会制定2026年中期分红方案的公告,分红,0.9,中性
002827,2026-04-08,1.1,关于授权董事会制定2026年中期分红方案的公告,分红,0.9,利多
002487,2026-04-08,0.5,2025年年度分红派息实施公告,分红,0.9,利多
301362,2026-04-08,0.5,国信证券股份有限公司关于深圳民爆光电股份有限公司现金收购厦门厦芝精密科技有限公司51%股权暨关联交易的核查意见,重组,0.8,利多
301362,2026-04-08,0.5,国信证券股份有限公司关于深圳民爆光电股份有限公司现金收购厦门厦芝精密科技有限公司51%股权暨关联交易的核查意见,重组,0.8,利多
002931,2026-04-08,1.0,西南证券股份有限公司关于深圳市优必选科技股份有限公司要约收购浙江锋龙电气股份有限公司之独立财务顾问报告,重组,0.85,利多
002931,2026-04-08,0.8,西南证券股份有限公司关于深圳市优必选科技股份有限公司要约收购浙江锋龙电气股份有限公司之独立财务顾问报告,重组,0.8,利多
600331,2026-04-08,0.8,华泰联合证券有限责任公司关于四川宏达股份有限公司收购报告书之持续督导意见,重组,0.85,利多
688466,2026-04-08,0.5,金科环境：关于公司收购唐山艾瑞克环境科技有限公司100%股权进展暨完成工商变更登记的公告,重组,0.85,利多
